SKU,Name,Category,Unit,UnitPrice,Barcode,Grade,Size,Thickness,MaterialType,Description,StockQuantity
SS-SQT202-11-2X11-2X1P5,"SS Square Tube 202 1 1/2"" x 1 1/2"" x 1.5mm",Stainless Tubes,pc,996,8.903E+12,202,"1 1/2"" x 1 1/2"" x 1.5mm",1.5mm,Standard,"Stainless square tube 202 1 1/2"" x 1 1/2"" x 1.5mm Standard",0
SS-SQT202-2X2X1P5,"SS Square Tube 202 2"" x 2"" x 1.5mm",Stainless Tubes,pc,1319,8.903E+12,202,"2"" x 2"" x 1.5mm",1.5mm,Standard,"Stainless square tube 202 2"" x 2"" x 1.5mm Standard",0
SS-RCT202-1-2X1X1P2,"SS Rectangular Tube 202 1/2"" x 1"" x 1.2mm",Stainless Tubes,pc,398,8.903E+12,202,"1/2"" x 1"" x 1.2mm",1.2mm,Standard,"Stainless rectangular tube 202 1/2"" x 1"" x 1.2mm Standard",0
SS-RCT202-1-2X2X1P2,"SS Rectangular Tube 202 1/2"" x 2"" x 1.2mm",Stainless Tubes,pc,671,8.903E+12,202,"1/2"" x 2"" x 1.2mm",1.2mm,Standard,"Stainless rectangular tube 202 1/2"" x 2"" x 1.2mm Standard",0
SS-RCT202-5-8X11-4X1P2,"SS Rectangular Tube 202 5/8"" x 1 1/4"" x 1.2mm",Stainless Tubes,pc,476,8.903E+12,202,"5/8"" x 1 1/4"" x 1.2mm",1.2mm,Standard,"Stainless rectangular tube 202 5/8"" x 1 1/4"" x 1.2mm Standard",0
SS-RCT202-1X11-2X1P2,"SS Rectangular Tube 202 1"" x 1 1/2"" x 1.2mm",Stainless Tubes,pc,671,8.903E+12,202,"1"" x 1 1/2"" x 1.2mm",1.2mm,Standard,"Stainless rectangular tube 202 1"" x 1 1/2"" x 1.2mm Standard",0
SS-RCT202-1X2X1P2,"SS Rectangular Tube 202 1"" x 2"" x 1.2mm",Stainless Tubes,pc,803,8.903E+12,202,"1"" x 2"" x 1.2mm",1.2mm,Standard,"Stainless rectangular tube 202 1"" x 2"" x 1.2mm Standard",0
SS-RCT202-1X3X1P2,"SS Rectangular Tube 202 1"" x 3"" x 1.2mm",Stainless Tubes,pc,1072,8.903E+12,202,"1"" x 3"" x 1.2mm",1.2mm,Standard,"Stainless rectangular tube 202 1"" x 3"" x 1.2mm Standard",0
SS-RCT202-2X3X1P2,"SS Rectangular Tube 202 2"" x 3"" x 1.2mm",Stainless Tubes,pc,1342,8.903E+12,202,"2"" x 3"" x 1.2mm",1.2mm,Standard,"Stainless rectangular tube 202 2"" x 3"" x 1.2mm Standard",0
SS-RCT202-2X4X1P2,"SS Rectangular Tube 202 2"" x 4"" x 1.2mm",Stainless Tubes,pc,1615,8.903E+12,202,"2"" x 4"" x 1.2mm",1.2mm,Standard,"Stainless rectangular tube 202 2"" x 4"" x 1.2mm Standard",0
SS-RCT202-1-2X1X1P5,"SS Rectangular Tube 202 1/2"" x 1"" x 1.5mm",Stainless Tubes,pc,486,8.903E+12,202,"1/2"" x 1"" x 1.5mm",1.5mm,Standard,"Stainless rectangular tube 202 1/2"" x 1"" x 1.5mm Standard",0
SS-RCT202-1X11-2X1P5,"SS Rectangular Tube 202 1"" x 1 1/2"" x 1.5mm",Stainless Tubes,pc,807,8.903E+12,202,"1"" x 1 1/2"" x 1.5mm",1.5mm,Standard,"Stainless rectangular tube 202 1"" x 1 1/2"" x 1.5mm Standard",0
SS-RCT202-1X2X1P5,"SS Rectangular Tube 202 1"" x 2"" x 1.5mm",Stainless Tubes,pc,983,8.903E+12,202,"1"" x 2"" x 1.5mm",1.5mm,Standard,"Stainless rectangular tube 202 1"" x 2"" x 1.5mm Standard",0
SS-RCT202-1X3X1P5,"SS Rectangular Tube 202 1"" x 3"" x 1.5mm",Stainless Tubes,pc,1316,8.903E+12,202,"1"" x 3"" x 1.5mm",1.5mm,Standard,"Stainless rectangular tube 202 1"" x 3"" x 1.5mm Standard",0
SS-RCT202-2X3X1P5,"SS Rectangular Tube 202 2"" x 3"" x 1.5mm",Stainless Tubes,pc,1649,8.903E+12,202,"2"" x 3"" x 1.5mm",1.5mm,Standard,"Stainless rectangular tube 202 2"" x 3"" x 1.5mm Standard",0
SS-RCT202-2X4X1P5,"SS Rectangular Tube 202 2"" x 4"" x 1.5mm",Stainless Tubes,pc,1983,8.903E+12,202,"2"" x 4"" x 1.5mm",1.5mm,Standard,"Stainless rectangular tube 202 2"" x 4"" x 1.5mm Standard",0
SS-DEC202-3-4X1P2,"SS Decorative Tube 202 3/4"" x 1.2mm",Stainless Tubes,pc,362,8.903E+12,202,"3/4"" x 1.2mm",1.2mm,Decorative,"Stainless decorative tube 202 3/4"" x 1.2mm Decorative",0
