SKU,Name,Category,Unit,UnitPrice,Barcode,Grade,Size,Description,StockQuantity
SS-ACC-PH007-1X2-304,SS SQ Cover 1x2 (304),Accessories,pc,25,8903001001097,304,1x2,SS SQ Cover — PH007 price list,0
SS-ACC-PH007-1X3-304,SS SQ Cover 1x3 (304),Accessories,pc,37,8903001001098,304,1x3,SS SQ Cover — PH007 price list,0
SS-ACC-PH007-2X3-304,SS SQ Cover 2x3 (304),Accessories,pc,37,8903001001099,304,2x3,SS SQ Cover — PH007 price list,0
SS-ACC-PH007-2X4-304,SS SQ Cover 2x4 (304),Accessories,pc,50,8903001001100,304,2x4,SS SQ Cover — PH007 price list,0
SS-ACC-PH008-1-1-2-202,SS RT Cover 1-1/2 (202),Accessories,pc,50,8903001001101,202,1-1/2,SS RT Cover — PH008 price list,0
SS-ACC-PH008-1-1-2-304,SS RT Cover 1-1/2 (304),Accessories,pc,75,8903001001102,304,1-1/2,SS RT Cover — PH008 price list,0
SS-ACC-PH008-2-202,SS RT Cover 2 (202),Accessories,pc,55,8903001001103,202,2,SS RT Cover — PH008 price list,0
SS-ACC-PH008-2-304,SS RT Cover 2 (304),Accessories,pc,90,8903001001104,304,2,SS RT Cover — PH008 price list,0
SS-ACC-PH008-2-1-2-202,SS RT Cover 2-1/2 (202),Accessories,pc,75,8903001001105,202,2-1/2,SS RT Cover — PH008 price list,0
SS-ACC-PH008-2-1-2-304,SS RT Cover 2-1/2 (304),Accessories,pc,110,8903001001106,304,2-1/2,SS RT Cover — PH008 price list,0
SS-ACC-PH008-3-202,SS RT Cover 3 (202),Accessories,pc,100,8903001001107,202,3,SS RT Cover — PH008 price list,0
SS-ACC-PH008-3-304,SS RT Cover 3 (304),Accessories,pc,155,8903001001108,304,3,SS RT Cover — PH008 price list,0
SS-ACC-PH009-2X2-202,SS SQ Ball Set 2x2 (202),Accessories,pc,60,8903001001109,202,2x2,SS SQ Ball Set — PH009 price list,0
SS-ACC-PH009-2X2-304,SS SQ Ball Set 2x2 (304),Accessories,pc,100,8903001001110,304,2x2,SS SQ Ball Set — PH009 price list,0
SS-ACC-PH010-3-4-GOLD-304,SS Ball Set Gold 3/4 Gold (304),Accessories,pc,25,8903001001111,304,3/4 Gold,SS Ball Set Gold — PH010 price list,0
SS-ACC-PH010-1-GOLD-304,SS Ball Set Gold 1 Gold (304),Accessories,pc,26,8903001001112,304,1 Gold,SS Ball Set Gold — PH010 price list,0
SS-ACC-PH011-3-4-202,SS Cylindrical Hinge 3/4 (202),Accessories,pc,17,8903001001113,202,3/4,SS Cylindrical Hinge — PH011 price list,0
SS-ACC-PH011-3-4-304,SS Cylindrical Hinge 3/4 (304),Accessories,pc,24,8903001001114,304,3/4,SS Cylindrical Hinge — PH011 price list,0
SS-ACC-PH011-1-202,SS Cylindrical Hinge 1 (202),Accessories,pc,19,8903001001115,202,1,SS Cylindrical Hinge — PH011 price list,0
SS-ACC-PH011-1-304,SS Cylindrical Hinge 1 (304),Accessories,pc,25,8903001001116,304,1,SS Cylindrical Hinge — PH011 price list,0
SS-ACC-PH011-3-4-GOLD-304,SS Cylindrical Hinge 3/4 Gold (304),Accessories,pc,27,8903001001117,304,3/4 Gold,SS Cylindrical Hinge — PH011 price list,0
